"profilename","SLZ VSI Custom v0.2.0"
"profilemnemonic",
"profiledescription",""
"##METAINFO ENDS##"
"ExternalControlId","Description","Parent","ControlId","Tags"
"AC","Access Control","","",""
"AC-2","Account Management","AC","",""
"AC-2(4)","Account Management | Automated Audit Actions","AC-2","3000118","COS,IBM"
"AC-2(7)","Account Management | Role Based Schemes","AC-2","",""
"AC-2(7)(b)","Monitors privileged role assignments","AC-2(7)","3000118","COS,IBM"
"AC-2(a)","The organization: Identifies and selects the following types of information system accounts to support organizational missions or business functions: [Assignment: organization-defined information system account types]","AC-2","3000059","IAM,IBM"
"AC-2(g)","The organization: Monitors the use of information system accounts","AC-2","3000118","COS,IBM"
"AC-6","Least Privilege","AC","",""
"AC-6(9)","Least Privilege | Auditing Use of Privileged Functions","AC-6","3000118","COS,IBM"
"AC-7","Unsuccessful Logon Attempts","AC","",""
"AC-7(a)","The information system: Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]","AC-7","3000716,3000053","APPID,IAM,IBM"
"AC-7(b)","The information system: Automatically [Selection: locks the account/node for an [Assignment: organization-defined time period]; locks the account/node until released by an administrator; delays next logon prompt according to ...","AC-7","3000717,3000054","APPID,IAM,IBM"
"AC-11","Session Lock","AC","",""
"AC-11(1)","Session Lock | Pattern-Hiding Displays","AC-11","3000055","IAM,IBM"
"AC-11(b)","The information system: Retains the session lock until the user reestablishes access using established identification and authentication procedures.","AC-11","3000056","IAM,IBM"
"AC-16","Security Attributes","AC","",""
"AC-16(a)"," The organization: Provides the means to associate [Assignment: organization-defined types of security attributes] having [Assignment: organization-defined security attribute values] with information in storage, in process, and or in transmission","AC-16","3000057","IAM,IBM"
"AC-17","Remote Access","AC","",""
"AC-17(9)","Remote Access | Disconnect / Disable Access","AC-17","3000058","IAM,IBM"
"AU","Audit and Accountability(AU)","","",""
"AU-2","Audit Events","AU","",""
"AU-2(a)","The organization: Determines that the information system is capable of auditing the following events: [Assignment: organization-defined auditable events]","AU-2","3000118,3000710","APPID,COS,IBM"
"AU-2(d)","The organization: Determines that the following events are to be audited within The information system:  [Assignment: organization-defined audited event...","AU-2","3000118,3000710","APPID,COS,IBM"
"AU-3","Content of Audit Records","AU","3000118","COS,IBM"
"AU-8","Time stamps","AU","",""
"AU-8(1)","Time Stamps | Synchronization with Authoritative Time Source","AU-8","",""
"AU-8(1)(a)","The information system: Compares the internal information system clocks [Assignment: organization-defined frequency] with [Assignment: organization-defined authoritative time source]","AU-8(1)","3000118","COS,IBM"
"AU-8(1)(b)","The information system: Synchronizes the internal system clocks to the authoritative time source when the time difference is greater than [Assignment: organization-defined time period]","AU-8(1)","3000118","COS,IBM"
"AU-8(a)","The information system: Use internal system clocks to generate time stamps for audit records","AU-8","3000118","COS,IBM"
"AU-8(b)","The information system: Records time stamps for audit records that can be mapped to Coordinated Universal Time (UTC) or Greenwich Mean Time (GMT) and meets [Assignment: organization-defined granularity of time measurement]","AU-8","3000118","COS,IBM"
"AU-12","Audit generation","AU","",""
"AU-12(a)","The information system: Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [Assignment: organization-defined system components]","AU-12","3000118","COS,IBM"
"AU-12(b)","The information system: Allow [Assignment: organization-defined personnel or roles] to select the event types that are to be logged by specific components of the system","AU-12","3000118","COS,IBM"
"AU-12(c)","The information system: Generates audit records for the events defined in AU-2 d. with the content defined in AU-3.","AU-12","3000118","COS,IBM"
"CA","Security Assessment and Authorization(CA)","","",""
"CA-7","Continuous Monitoring","CA","",""
"CA-7(d)","The organization develops a continuous monitoring strategy and implements a continuous monitoring program that includes: d. Ongoing security status ...","CA-7","3000118,3000601,3000611","COS,TOOLCHAIN,VULNERABILITY_ADVISOR,IBM"
"CP","Contingency Planning","","",""
"CP-7","Alternate Processing Site","CP","",""
"CP-7(1)","Alternate Processing Site | Separation from Primary Site","CP-7","3000473,3000117,3000233,3000915,3000474,3000479,3000051","COS,CLUSTER,HYPERPROTECT,IBM,NETWORKING,SERVICES"
"CP-7(a)","The organization: Establishes an alternate processing site including necessary agreements to permit the transfer and resumption of [Assignment: organization-defined information system operations]...","CP-7","3000473,3000117,3000233,3000915,3000474,3000479,3000051","COS,CLUSTER,HYPERPROTECT,IBM,NETWORKING,SERVICES"
"CP-7(b)","The organization: Ensures that equipment and supplies required to transfer and resume operations are available at the alternate processing site or contracts are in place to support delivery to the site within..","CP-7","3000473,3000117,3000233,3000915,3000474,3000051","COS,CLUSTER,HYPERPROTECT,IBM,NETWORKING,SERVICES"
"CP-7(c)","The organization: Ensures that the alternate processing site provides information security safeguards equivalent to those of the primary site","CP-7","3000473,3000117,3000233,3000915,3000474,3000051","COS,CLUSTER,HYPERPROTECT,IBM,NETWORKING,SERVICES"
"CP-10","Information System Recovery and Reconstitution","CP","3000473,3000117,3000428,3000233,3000430,3000915,3000474,3000466,3000429,3000116,3000051","COS,CLUSTER,HYPERPROTECT,IBM,NETWORKING,SERVICES"
"IA","Identification and Authentication(IA)","","",""
"IA-2-0","The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).","IA-2","3000060,3000903,3000061","IAM,CLUSTER,IBM"
"IA-2","Identification and Authentication (Organizational Users)","IA","",""
"IA-4","Identifier Management","IA","",""
"IA-4(b)","The organization manages information system identifiers by: Selecting an identifier that identifies an individual, group, role, or device.","IA-4","3000463,3000062,3000465,3000063,3000464","IAM,IBM,NETWORKING"
"IA-4(c)","The organization manages information system identifiers by: Assigning the identifier to the intended individual, group, role, or device.","IA-4","3000463,3000062,3000465,3000063,3000464","IAM,IBM,NETWORKING"
"IA-4(d)","The organization manages information system identifiers by: Preventing reuse of identifiers for [Assignment: organization-defined time period].","IA-4","3000064","IAM,IBM"
"IA-5","Authenticator Management","IA","",""
"IA-5(1)","Authenticator Management | Password-Based Authentication","IA-5","",""
"IA-5(1)(a)","The information system, for password-based authentication: Enforces minimum password complexity of [Assignment: organization-defined requirements for case sensitivity, number of characters, mix of upper-case letters, lower-case letters, numbers...","IA-5(1)","3000002,3000714,3000008,3000007,3000006,3000001,3000713,3000004,3000003","APPID,IAM,IBM"
"IA-5(1)(c)","The information system, for password-based authentication: Stores and transmits only encrypted representations of passwords.","IA-5(1)","3000701,3000702,3000407,3000070,3000433,3000432,3000703,3000434","APPID,IAM,IBM,NETWORKING"
"IA-5(1)(d)","The information system, for password-based authentication: Enforces password minimum and maximum lifetime restrictions of [Assignment: organization- defined numbers for lifetime minimum, lifetime maximum].","IA-5(1)","3000071,3000719","APPID,IAM,IBM"
"IA-5(1)(e)","The information system, for password-based authentication: Prohibits password reuse for [Assignment: organization-defined number] generations.","IA-5(1)","3000715,3000005","APPID,IAM,IBM"
"IA-5(b)","The organization manages information system authenticators by: Establishing initial authenticator content for authenticators defined by the organization","IA-5","3000075","IAM,IBM"
"IA-5(f)","The organization manages information system authenticators by: Establishing minimum and maximum lifetime restrictions and reuse conditions for authenticators.","IA-5","3000067,3000718,3000068","APPID,IAM,IBM"
"IA-6","Authenticator Feedback","IA","3000074","IAM,IBM"
"SC","System and Communication Protection(SC)","","",""
"SC-6","Resource Availability","SC","3000473,3000117,3000428,3000233,3000430,3000915,3000474,3000282,3000466,3000429,3000051","COS,CLUSTER,HYPERPROTECT,IBM,NETWORKING,SERVICES"
"SC-10","Network Disconnect","SC","3000724,3000050","APPID,IAM,IBM"
"SC-11","Trusted Path","SC","3000906,3000418,3000103,3000701,3000702,3000407,3000470,3000433,3000432,3000703,3000434","ROKS,APPID,COS,IBM,NETWORKING,CIS"
"SI","System and Information Integrity(SI)","","",""
"SI-4","Information System Monitoring","SI","",""
"SI-4(a)","The organization: Monitors the information system to detect:1. Attacks and indicators of potential attacks...; and 2. Unauthorized local, network, and remote connections.","SI-4","3000118,3000408","COS,IBM,NETWORKING"
"SI-4(b)","The organization: Identifies unauthorized use of the information system through [Assignment: organization- defined techniques and methods].","SI-4","3000118,3000408","COS,IBM,NETWORKING"
"SI-4(c)","The organization: Deploys monitoring devices: (i) strategically within the information system to collect organization-determined essential information; and (ii) at ad hoc locations ..","SI-4","3000118,3000408","COS,IBM,NETWORKING"
